folder,f1,f2,f3,gmag1,gmag2,gmag3,is_truth_geom,pred_prob,gb_confidence,hybrid_score
20231105_2023_VY1,"(411.89418412457667, 100.94947167750644)","(353.1116425471521, 200.83778796059522)","(294.88461878740657, 302.30127556128946)",19.06367010006403,19.356557682170244,19.289477859299364,False,0.10864608,0.008296862,0.0601308434
20231105_2023_VY1,"(382.75543284731805, 21.005227334386205)","(383.8056104841114, 20.2802476244332)","(383.26578924170315, 20.612589423128412)",19.41360597514412,19.12584816770694,19.22257256599334,False,0.01351066,3.885419e-05,0.006782527933
20231105_2023_VY1,"(377.3312592455498, 351.131054526283)","(357.8555140601383, 353.1195161048911)","(339.22483793725564, 353.98980708125157)",19.380628324412857,19.1396843835014,19.21782996653895,False,0.12644573,0.15787058,0.173732271
20231105_2023_VY1,"(505.70901313143224, 496.5620178497534)","(504.41310256853296, 496.2123480260301)","(503.9630600447023, 497.2064726490629)",19.1762545407746,18.63644224597813,18.94758400122914,False,0.0007623553,2.7838003e-06,0.00038312631021
20231105_2023_VY1,"(108.00438471340357, 379.9305971559587)","(107.09278253313053, 381.0839683277921)","(107.8041757993887, 380.2105032623021)",19.20377966934573,19.091952760402336,19.24385228519418,False,0.035497718,5.0210136e-05,0.0177840060952
20231105_2023_VY1,"(390.2867955848677, 205.94037827768008)","(377.6892666844227, 352.7549937958181)","(366.3423179482854, 497.2970197207459)",19.82018789706705,19.017535906131947,18.81831821571297,False,0.048857324,0.00055173953,0.024814879671
20231105_2023_VY1,"(274.71349305696253, 349.0376580331066)","(298.3329957151708, 349.43565869756935)","(322.75920355984135, 351.62836485718117)",19.453341546728105,19.522517826131267,19.16471467063092,False,0.04633026,0.7815412,0.5702439699999999
20231105_2023_VY1,"(331.1963051003288, 342.47787328091636)","(221.43233306730463, 349.2174109419751)","(109.65428184221756, 357.97224367489594)",19.32879485400961,19.550611947073712,19.39808061426456,False,0.12046966,8.9051624e-05,0.0602971661368
20231105_2023_VY1,"(366.0084058470461, 510.1422787614839)","(368.0689320033586, 510.34235616563217)","(372.12791703527125, 509.3446879028886)",18.764500790121136,19.065003589580083,18.70951377497987,False,0.01578793,0.0037840519,0.010542801329999999
20231105_2023_VY1,"(327.70815970495005, 507.9765193012293)","(362.6316433762256, 507.11994772320986)","(394.7099193534072, 505.48831119193176)",18.358739886070964,18.90076594277513,18.51111791599425,False,0.012376397,0.0037801566,0.00883430812
